Item,Specification,Price
"CONICAL FLASK BOROSIL","50ML","175.00"
"CONICAL FLASK BOROSIL","250ML","232.00"
"CONICAL FLASK HYSIL","100ML","450.00"
"CONICAL FLASK CHINA","50ML","175.00"
"CONICAL FLASK CHINA","100ML","200.00"
"CONICAL FLASK CHINA","250ML","250.00"
"CONICAL FLASK SYMAX","50ML","216.00"
"CONICAL FLASK SYMAX","100ML","300.00"
"CONICAL FLASK SYMAX","250ML","350.00"
"CONICAL FLASK SYMAX","500ML","450.00"
"CONICAL FLASK SYMAX","1000ML","550.00"
"CONICAL FLASK SYMAX","2000ML","1100.00"
"CONICAL FLASK PYREX","50ML","500.00"
"CONICAL FLASK PYREX","100ML","600.00"
"CONICAL FLASK PYREX","250ML","650.00"
"CONICAL FLASK PYREX","500ML","700.00"
"CONICAL FLASK PYREX","1000ML","2000.00"
"CONICAL FLASK PYREX","2000ML","2500.00"
"CONNECTING WIRE-COPPER","20M","325.00"
"CONNECTING WIRE-COPPER","60M","700.00"
"CONNECTING WIRE-COPPER","100M","930.00"
"CONSTASTINE WIRE","REEL","414.00"
"CONTACT KEY","","270.00"
"COPPER WIRE BARE-ENAMELLED","","414.00"
"CORK BORER SET","","810.00"
"CORK BORER SHARPENER","","414.00"
"CORK TO FIT TEST TUBE","BARK","20.00"
"CORK TO FIT BOILING TUBE","BARK","30.00"
"CORK TO FIT CONICAL FLASK","BARK","50.00"
"COTTON TWINE","ROLL","250.00"
"CROCODILE CLIPS","","40.00"
"CROOKS RADIOMETER","","834.00"
"CRUCIBLE TONGS","","200.00"
"CRUCIBLE WITH LID","25ML","150.00"
"CRUCIBLE WITH LID","50ML","155.00"
"DANIEL CELL","","2000.00"
"DEFLAGRATING SPOON WITH LID","","1450.00"
"DEMONSTRATION TRANSFORMER","","4000.00"
"DENSITY BOTTLE","25ML","170.00"
"DENSITY BOTTLE","50ML","210.00"
"DESICCATOR WITH KNOB","4”","2500.00"
"DESICCATOR WITH KNOB","5”","3000.00"
"DESICCATOR WITH KNOB","6”","3600.00"
"DESICCATOR WITH KNOB","12”","4500.00"
"DIFFRACTION GRATINGS","","3120.00"
"DIODE MOUNTED","","1200.00"
"DIONIZER ELGA CAN","","9000.00"
"DIONIZER WITH 4 ELGA CANS","","120000.00"
"DIP CIRCLE","","5500.00"
"DIPNEEDLE COMPLETE","","1300.00"
"DISSECTING BOARD/SOFT BOARD","WOODEN","233.00"
"DISSECTING FORCEPS","BLUNT/FINE","170.00"
"DISSECTING NEEDLE","PLASTIC HANDLE","80.00"
"DISSECTING NEEDLE","WOODEN HANDLE","60.00"
"DISSECTING SCISSORS","BLUNT/SHARP","250.00"
"DISSECTING SET","14 INSTRUMENTS","700.00"
"DISSECTING SET","18 INSTRUMENTS","850.00"
"DISSECTING TRAY WITHOUT WAX","ALUMINIUM","700.00"
"DISSECTING TRAY WITHOUT WAX","PLASTIC","600.00"
"DISSECTING TRAY WITH WAX","","1050.00"
"DISTILLATION APPARATUS COMPLETE-LEIBIG","","2500.00"
"DISTILLATION FLASK WITH SIDE ARM","60ML","600.00"
"DISTILLATION FLASK WITH SIDE ARM","250ML","700.00"
"DISTILLATION FLASK WITH SIDE ARM","500ML","1000.00"
"DROPPER","PLASTIC","30.00"
"DROPPER BOTTLE EYEDROP","PLASTIC","80.00"
"DROPPER TEATS ONLY","","20.00"
"DROPPER WITH TEAT","","60.00"
"DROPPER WITH TEAT","SUPERIOR","80.00"
"DROPPING FUNNEL WITH TAP","50ML","475.00"
"DRYING TOWER","","2490.00"
"DYNAMIC TROLLEY","","2500.00"
"DYNAMO WORKING MODEL","","2000.00"
"EBONTTE ROD","12” X 0.5”","350.00"
"ELECTRIC BELL","","600.00"
"ELECTRIC MOTOR","3V","2500.00"
"ELECTRIC MOTOR","MODEL","2700.00"
"ELECTRODE-COPPER","PLATE","300.00"
"ELECTRODE-LEAD","PLATE","300.00"
"ELECTRODE-ZINC","PLATE","300.00"
"ELECTRODECARBON","RODS","300.00"
"ELECTRODE-COPPER","RODS","300.00"
"ELECTRODE-ZINC","RODS","300.00"
"ELECTRODE-LEAD","RODS","300.00"
"ELECTRODE-PLANUM","PAIR","1260.00"
"ELECTROPHORUS STRIPS","","560.00"
"ELEMENT FOR WATER DISTILLER","","3000.00"
"EVAPORATING DISH","","210.00"
"EXPANSION OF LIQUID APPARAUS","","4800.00"
"FILTER FLASK","250 ML","600.00"
"FILTER FLASK","500 ML","800.00"
"FILTER PUMP","","570.00"
"FIRE EXTINGUISHER DRY POWDER","2.5KG","8500.00"
"FIRE EXTINGUISHER DRY POWDER","5KG","15000.00"
"FIRE EXTINGUISHER CO2 GERMANY","1KG","25000.00"
"FIST AID BOX","SMALL","1500.00"
"FIST AID BOX","MEDIUM","3500.00"
"FIST AID BOX","LARGE","7000.00"
"FLASK BOILING-FLAT BOTTOM BOROSILICATE","250ML","250.00"
"FLASK BOILING-FLAT BOTTOM BOROSILICATE","500 ML","300.00"
"FLASK BOILING-FLAT BOTTOM BOROSIL","50 ML","220.00"
"FLASK BOILING-FLAT BOTTOM BOROSIL","250 ML","250.00"
"FLASK BOILING-BOTTOM BOROSIL","1000 ML","1100.00"
"FLASK BOILING-FLAT BOTTOM SIMAX","50 ML","160.00"
"FLASK BOILING-FLAT BOTTOM SIMAX","100 ML","200.00"
"FLASK BOILING-FLAT BOTTOM SIMAX","250 ML","234.00"
"FLASK BOILING-FLAT BOTTOM SIMAX","500 ML","300.00"
"FLASK BOILING-FLAT BOTTOM SIMAX","1000 ML","870.00"
"FLASK BOILING-FLAT BOTTOM SIMAX","2000 ML","1100.00"
"FLASK BOILING-FLAT BOTTOM PYREX","250 ML","515.00"
"FLASK BOILING–FLAT BOTTOM PYREX","500 ML","650.00"
"FLASK BOILING-FLAT BOTTOM PYREX","1000 ML","2500.00"
"FLASK BOILING-FOUND BOTTOM BOROSILICATE","250 ML","234.00"
"FLASK BOILING-ROUND BOTTOM BOROSILICATE","500 ML","300.00"
"FLASK BOILING-ROUND BOTTOM BOROSIL","50 ML","220.00"
"FLASK BOILING-ROUND BOTTOM BOROSIL","250 ML","250.00"
"FLASK BOILING-ROUND BOTTOM SIMAX","50 ML","160.00"
"FLASK BOILING-ROUND BOTTOM SIMAX","100 ML","200.00"
"FLASK BOILING-ROUND BOTTOM SIMAX","250 ML","234.00"
"FLASK BOILING-ROUND BOTTOM SIMAX","500 ML","300.00"
"FLASK BOILING-ROUND BOTTOM SIMAX","1000 ML","870.00"
"FLASK BOILING-ROUND BOTTOM SIMAX","2000 ML","1100.00"
"FLASK BOILING-ROUND BOTTOM PYREX","250 ML","515.00"
"FLASK BOILING-ROUND BOTTOM PYREX","500 ML","650.00"
"FLASK BOILING-ROUND BOTTOM PYREX","1000 ML","1200.00"
"FORCE PUMP","","850.00"
"FRACTIONATING COLUMN","","1800.00"
"FREE FALL APPARATUS","","6500.00"
"FREQUENCY GENERATOR SIGNAL GENERATOR","","35000.00"
"FUNNEL GLASS","50MM","162.00"
"FUNNEL GLASS","60MM","180.00"
"FUNNEL GLASS","75MM","192.00"
"FUNNEL GLASS","90MM","210.00"
"FUNNEL GLASS","100MM","258.00"
"FUNNEL PLASTIC","75MM","60.00"
"FUNNEL PLASTIC","100MM","90.00"
"G CLAMP","2”","350.00"
"G CLAMP","3”","400.00"
"G CLAMP","4”","760.00"
"GALVANOMETER ZERO CENTRE","","1100.00"
"GAS BURNER PORTABLE","","3850.00"
"GAS STOVE PORTABLE","","2950.00"
"GAS CATRIDGE","","250.00"
"GAS JAR LID ONLY","","45.00"
"GAS JAR WITH LID","","350.00"
"GAS MASK","CLOTH","180.00"
"GAS MASK SINGLE","RESPIRATOR","900.00"
"GAS MASK DOUBLE","RESPIRATOR","1330.00"
"GLASS BLOCK-RECTANGULAR","","550.00"
"GLASS BLOCK-SEMI CIRCULAR","","550.00"
"GLASS CAPILLARY TUBING","1 METER","132.00"
