Item,Specification,Price
"SOIL SIEVES","","12000.00"
"SOLENOID WITH TERMINAL ON STAND","","1250.00"
"SONOMETER ON STAND COMPLETE","","4800.00"
"SPADE TERMINALS","","120.00"
"SPATULA PLASTIC","","50.00"
"SPATULA STAINLESS","","120.00"
"SPECIMEN JARS","","350.00"
"SPECIMEN TUBE","3” X 1”","120.00"
"SPECTROMETER","150MM","15000.00"
"SPHERE SET","","1100.00"
"SPHEROMETER","","2000.00"
"SPIRAL RING","3”","150.00"
"SPIRAL RING","9”","300.00"
"SPIRAL WITHOUT POINTER SPRING","3”","100.00"
"SPIRAL WITH POINTER SPRING","","150.00"
"SPIRIT LAMP","","450.00"
"SPIRIT LAMP","100PCS","500.00"
"SPLINTS WOODEN","100PCS","200.00"
"SPLINTS WOODEN","1000PCS","1200.00"
"STAINING GAS JAR","","400.00"
"STATURE METER","","1750.00"
"STEAM GENERATOR","","30000.00"
"STETHOSCOPE","","1500.00"
"STOCKABLE PLUGS","","1290.00"
"STOP CLOCK","","2490.00"
"STOP WATCH","ELECTRONICS","600.00"
"STOP WATCH METAL CASE","MECHANICAL","3000.00"
"STREBOSCOPE HAND OPERATED","","2500.00"
"SWEET NET","","400.00"
"SYRINGE","10ML","30.00"
"SYRINGE","20ML","150.00"
"SYRINGE","50ML","200.00"
"SYRINGE GLASS","10ML","500.00"
"TALLY COUNTER","","800.00"
"TAPPING KEY","1 WAY","180.00"
"TAPPING KEY","2 WAY","280.00"
"TERMINALS","","100.00"
"TEST TUBE BRUSH","MICRO","80.00"
"TEST TUBE BRUSH","MEDIUM","95.00"
"TEST TUBE BRUSH","BOTTLE WASH","105.00"
"TEST TUBE HOLDER","WOODEN/WIRE TYPE","125.00"
"TEST TUBE STAND","WOODEN 6 HOLE","180.00"
"TEST TUBE STAND","PLASTIC 6 HOLE","200.00"
"TEST TUBE STAND","WOODEN 12 HOLE","250.00"
"TEST TUBE WITH RIM BOROSIL","10 X 75","16.00"
"TEST TUBE WITH RIM BOROSIL","12 X 100","20.00"
"TEST TUBE WITH RIM BOROSIL","15 X 125","70.00"
"TEST TUBE WITH RIM BOROSIL","25 X 150","140.00"
"TEST TUBE WITH RIM SIMAX","15 X 125","25.00"
"TEST TUBE WITH RIM SIMAX","24 X 150","140.00"
"TEST TUBE WITH RIM PYREX","10 X 75","45.00"
"TEST TUBE WITH RIM PYREX","15 X 125","70.00"
"TEST TUBE WITH RIM PYREX","24 X 150","140.00"
"TEST TUBE WITH RIM CHINA","10 X 75","12.00"
"TEST TUBE WITH RIM CHINA","12 X 75","14.00"
"TEST TUBE WITH RIM CHINA","12 X 100","15.00"
"TEST TUBE WITH RIM CHINA","16 X 125","20.00"
"TEST TUBE WITH RIM CHINA","24 X 150","60.00"
"TEST TUBE WITH SIDE ARM","16 X 125","200.00"
"THERMISTOR","","300.00"
"THERMOCOUPLE","","450.00"
"THERMOMETER","CLINICAL","95.00"
"THERMOMETER","0–50°C","180.00"
"THERMOMETER","0–150°C","300.00"
"THERMOMETER","0–250°C","410.00"
"THERMOMETER","0–360°C","520.00"
"THERMOMETER ALCOHOL/MERCURY","-10–110°C","180.00"
"THERMOMETER UK","-10–110°C","1150.00"
"THERMOMETER UK","MAX & MIN","1800.00"
"THERMOMETER DIGITAL","CLINICAL","900.00"
"THERMOMETER DIGITAL","","3500.00"
"THERMOMETER FOR INCUBATOR/OVEN","","2000.00"
"THERMOPILE","","450.00"
"THISTLE FUNNEL","","150.00"
"THISTLE FUNNEL WITH TAP","","475.00"
"TICKER TAPE ROLL","","234.00"
"TICKER TAPE TIMER","","3000.00"
"TILES","WHITE","100.00"
"TILES CAVITY","6 HOLES","200.00"
"TILES CAVITY","12 HOLES","280.00"
"TRIPOD STAND","","120.00"
"TUBE T","PLASTIC","80.00"
"TUBE Y","PLASTIC","80.00"
"TUBE T","GLASS","100.00"
"TUBE Y","GLASS","100.00"
"TUNING FORK","SET OF 8","1600.00"
"U TUBE","GLASS","125.00"
"U TUBE WITH SIDE ARM","GLASS","150.00"
"UNIVERSAL BOTTLE","","120.00"
"VACUUM AND AIR PRESSURE PUMP COMBINED","","3000.00"
"VAN DE GRAAFF GENERATOR","MANUAL","9570.00"
"VAN DE GRAAFF GENERATOR","ELECTRICAL","29700.00"
"VENNIER CALLIPERS","","450.00"
"VENTURI TUBE","","1000.00"
"VLTAIC CELL","","750.00"
"VOLTMETER","30V ELECTRICAL","4000.00"
"VOLTMETER","DUAL RANGE","1200.00"
"VOLUMETRIC FLASK BOROSIL PLASTIC STOPPER","500ML","1200.00"
"VOLUMETRIC FLASK BOROSIL PLASTIC STOPPER","100ML","600.00"
"VOLUMETRIC FLASK BOROSIL PLASTIC STOPPER","250ML","800.00"
"VOLUMETRIC FLASK BOROSIL PLASTIC STOPPER","1000ML","1800.00"
"VOLUMETRIC FLASK BOROSIL GLASS STOPPER","2000ML","2900.00"
"VOLUMETRIC FLASK SIMAX","25ML","1200.00"
"VOLUMETRIC FLASK SIMAX","50ML","1300.00"
"VOLUMETRIC FLASK SIMAX","100ML","1500.00"
"VOLUMETRIC FLASK SIMAX","250ML","1700.00"
"VOLUMETRIC FLASK SIMAX","500ML","2500.00"
"VOLUMETRIC FLASK SIMAX","1000ML","3000.00"
"VOLUMETRIC FLASK SIMAX","2000ML","4350.00"
"VOLUMETRIC FLASK CHINA","10ML","200.00"
"VOLUMETRIC FLASK CHINA","25ML","250.00"
"VOLUMETRIC FLASK CHINA","50ML","300.00"
"VOLUMETRIC FLASK CHINA","100ML","350.00"
"VOLUMETRIC FLASK CHINA","250ML","400.00"
"VOLUMETRIC FLASK CHINA","500ML","1002.00"
"VOLUMETRIC FLASK CHINA","1000ML","1590.00"
"VOLUMETRIC FLASK CHINA","2000ML","1890.00"
"VOLUMETRIC FLASK CHINA","5000ML","8000.00"
"VOLUMETRIC FLASK MORBANK","1000ML","4000.00"
"VOLUMETRIC FLASK MORBANK","2000ML","5000.00"
"VOLUMETRIC FLASK UK","5000ML","12750.00"
"WASH BOTTLE","250ML","170.00"
"WASH BOTTLE","500ML","280.00"
"WASH BOTTLE","1000ML","400.00"
"WASH GLASS","50MM","100.00"
"WASH GLASS","75MM","120.00"
"WASH GLASS","100MM","180.00"
"WATER BATH","COPPER","1200.00"
"WATER BATH","ELECTRICAL","26500.00"
"WATER BATH SUPERIOR","ELECTRICAL","28500.00"
"WATER LEVEL","","450.00"
"WATER STILLER STAINLESS","","38000.00"
"WAVE MACHINE","","9665.00"
"WEIGHTS SLOTTED","10 X 10 GM","600.00"
"WEIGHTS SLOTTED","10 X 20 GM","700.00"
"WEIGHTS SLOTTED","10 X 50 GM","1200.00"
"WEIGHTS SLOTTED","5 X 100 GM","1600.00"
"WEIGHTS WITH HOOKS","5 GM","60.00"
"WEIGHTS WITH HOOKS","10 GM","70.00"
"WEIGHTS WITH HOOKS","PER PIECE","90.00"
"WEIGHTS WITH HOOKS","15 GM PER PIECE","18100.00"
"ACETALDEHYDE","1L","5430.00"
"ACETIC ACID GLACIAL","1L","1300.00"
"ACETIC ACID GLACIAL","2.5L","2500.00"
"ACETO CARMINE","100ML","2560.00"
"ACETO ORCEIN","100ML","2600.00"
"ACETONE LP","1L","1000.00"
"ACETONE LP","2.5L","3500.00"
"AGAR AGAR","100GM","1800.00"
"ALBUMIN FROM EGG","25GM","700.00"
"ALBUMIN FROM EGG","500 GM","8000.00"
"ALUMINIUM AMMONIUM SULPHATE","500 GM","1050.00"
"ALUMINIUM CARBONATE","250 GM","1200.00"
"ALUMINIUM CHLORIDE ANHYDROUS","500 GM","1500.00"
"ALUMINIUM FINE POWDER","100 GM","850.00"
"ALUMINIUM FOIL","1 ROLL","250.00"
"ALUMINIUM HYDROXIDE","250 GM","900.00"
"ALUMINIUM NITRATE","500 GM","1420.00"
"ALUMINIUM OXIDE","500 GM","2000.00"
"ALUMINIUM POTASSIUM SULPHATE","500 GM","900.00"
"ALUMINIUM SULPHATE","500 GM","950.00"
"AMMONIA SOLUTION","1L","600.00"
"AMMONIA SOLUTION","2.5L","1800.00"
"AMMONIA ACETATE","500 GM","800.00"
"AMMONIA CARBONATE","500 GM","1050.00"
"AMMONIA CHLORIDE","500 GM","550.00"
"AMMONIA CUPRIC CHLORIDE","500 GM","14900.00"
"AMMONIA DICHROMATE","500 GM","1940.00"
"AMMONIA FERRIC SULPHATE","500 GM","1750.00"
"AMMONIA FERROUS SULPHATE","500 GM","1500.00"
"AMMONIA HYDROGEN CARBONATE","500 GM","1350.00"
"AMMONIA MOLYBDATE","100 GM","10000.00"
"AMMONIA NITRATE","500 GM","2600.00"
"AMMONIA OXALATE","500 GM","3600.00"
"AMMONIA SULPHATE","500 GM","690.00"
"AMYLASE","25 GM","8950.00"
"ANTI A","10 ML","900.00"
"ANTI B","10 ML","900.00"
"ANTI D","10 ML","1500.00"
"ASBESTOS WOOL","250 GM","1500.00"
"ASCORBIC ACID","100 GM","800.00"
"BARIUM CARBONATE","500 GM","1387.00"
"BARIUM CHLORIDE","500 GM","1000.00"
"BARIUM CHROMATE","250 GM","4500.00"
"BARIUM HYDROXIDE","250 GM","1085.00"
"BARIUM NITRATE","500 GM","1200.00"
"BARIUM SULPHATE","500 GM","1000.00"
"BENEDICT SOLUTION","1L","450.00"
"BENZENE","2.5L","6200.00"
"BENZOIC ACID","500GM","1800.00"
"BICARBONATE INDICATOR","500ML","400.00"
"BIURET AGENT","1L","650.00"
"BLEACHING POWDER","500 GM","1500.00"
"BORIX","500 GM","1000.00"
"BORIC ACID","500 GM","800.00"
"BROMINE LIQUID","50 ML","4300.00"
"BROMINE LIQUID","100 ML","7500.00"
"BROMINE LIQUID","250 ML","16100.00"
"BROMINE WATER","0.5 L","1000.00"
"BROMINE WATER","1L","1750.00"
"BROMOTHYMOL BLUE","5 GM","750.00"
"BROMOTHYMOL BLUE SOLUTION","0.5 L","400.00"
"BUTAL-1-OL","0.5 L","1500.00"
"CALCIUM CARBIDE","250 GM","6000.00"
"CALCIUM CARBONATE","500 GM","450.00"
"CALCIUM CHLORIDE FUSED","500 GM","1200.00"
"CALCIUM HYDROXIDE","500 GM","900.00"
"CALCIUM METAL","50 GM","3250.00"
"CALCIUM METAL","100 GM","5000.00"
"CALCIUM NITRATE","500 GM","1000.00"
"CALCIUM OXIDE","500 GM","1100.00"
"CALCIUM SULPHATE","500 GM","1500.00"
"CAMPHOUR","100 GM","2500.00"
"UNKNOWN ITEM","500 GM","2000.00"
"UNKNOWN ITEM","250 GM","0.00"
"CUPRIC NITRATE","250 GM","960.00"
"CUPRIC OXIDE","100 GM","1200.00"
"CUPRIC SULPHATE ANHYDROUS","500 GM","2500.00"
"CUPRIC SULPHATE PENTAHYDRATE","500 GM","1500.00"
"DCPIP","1 GM","400.00"
"DETERGENT","5L","800.00"
"DEXTROSE MONOHYDRATE GLUCOSE","500 GM","800.00"
"DIASTASE","100 GM","1500.00"
"DIETHYL ETHER","2.5 L","4120.00"
"DIPOTASSIUM HYDROGEN PHOSPHATE","500 GM","1800.00"
"DISODIUM HYDROGEN PHOSPHATE","500 GM","1750.00"
"DISTILLED WATER","5L","500.00"
"DISTILLED WATER","20L","800.00"
"EDTA DISODIUM SALT","100 GM","1400.00"
"EOSIN YELLOW","25 GM","1200.00"
"ETHANOL","1L","900.00"
"ETHANOL","2.5 L","1800.00"
"ETHANOL PRO ANALYSIS AR","2.5 L","6400.00"
"FEHLING'S SOLUTION NO.1","1L","900.00"
"FEHLING'S SOLUTION NO.2","1L","1200.00"
"FERRIC CHLORIDE","500 GM","2000.00"
"FERRIC NITRATE","250 GM","1800.00"
"FERRIC NITRATE","500 GM","1800.00"
"FERRIC SULPHATE","500 GM","1950.00"
"FERROUS CHLORIDE","500 GM","2000.00"
"FERROUS SULPHATE","500 GM","1200.00"
"FERROUS SULPHIDE","500 GM","1500.00"
"FIELD STAIN A POWDER","25 GM","1200.00"
"FIELD STAIN B POWDER","25 GM","1200.00"
"FILTER PAPER WHATMAN","NO 1 - 9 CM","500.00"
"FILTER PAPER WHATMAN","NO 1 - 11 CM","600.00"
"FILTER PAPER WHATMAN","NO 1 - 12.5 CM","800.00"
"FILTER PAPER WHATMAN","NO 1 - 15 CM","1100.00"
"FILTER PAPER WHATMAN","NO 1 - 18.5 CM","1500.00"
"FILTER PAPER WHATMAN","NO 1 - 24 CM","2500.00"
"FILTER PAPER WHATMAN","NO 91 - 24 CM","2800.00"
"FILTER PAPER WHATMAN","NO 40 - 12.5 CM","3000.00"
"FILTER PAPER WHATMAN","NO 40 - 15 CM","6250.00"
"FILTER PAPER WHATMAN","NO 41 - 15 CM","6250.00"
"FILTER PAPER SCHLEICHER & SCHUELL","NO 595 - 9 CM","400.00"
"FILTER PAPER SCHLEICHER & SCHUELL","NO 595 - 12.5 CM","720.00"
"FILTER PAPER SCHLEICHER & SCHUELL","NO 595 - 18.5 CM","1100.00"
"FILTER PAPER SCHLEICHER & SCHUELL","NO 595 - 24 CM","1500.00"
"FORMALDEHYDE","2.5 L","2000.00"
"FORMIC ACID","1L","1800.00"
"FRUCTOSE","100 GM","1200.00"
"GIEMSA STAIN POWDER","25 GM","2070.00"
"GLASS WOOL","250 GM","1200.00"
"GLUCOSE MONOHYDRATE","500 GM","600.00"
"GLYCEROL","1L","790.00"
"GLYCEROL","2.5 L","1750.00"
"HEXANE","2.5 L","3000.00"
"HEXANE","1L","500.00"
"HYDROCHLORIC ACID 1.16–32%","2.5 L","1800.00"
"HYDROCHLORIC ACID 1.16–32%","1L","900.00"
"HYDROCHLORIC ACID 1.18–36%","2.5 L","1800.00"
"HYDROGEN PEROXIDE 20 VOL","2L","800.00"
"HYDROGEN PEROXIDE 30 VOL","2L","800.00"
"HYDROGEN PEROXIDE 40 VOL","2L","1000.00"
"HYDROGEN PEROXIDE 100 VOL","2L","1200.00"
"IMMERSION OIL","50 ML","1600.00"
"INVERTASE","100 ML","1085.00"
"IODINE CRYSTALS","100 GM","1700.00"
"IRON FILLINGS","500 GM","1200.00"
"IRON PIN DUST","500 GM","1800.00"
"IRON POWDER","500 GM","1800.00"
"ISOBUTYL ALCOHOL 2-METHYL-1-PROPANOL","500 GM","3000.00"
"LACTOSE","500 GM","1500.00"
"LEAD ACETATE","500 GM","2000.00"
"LEAD BROMIDE","500 GM","6000.00"
"LEAD CARBONATE","500 GM","1700.00"
"LEAD CHLORIDE SLR","250 GM","2500.00"
"LEAD CHROMATE SLR","250 GM","2500.00"
"LEAD DIOXIDE SLR","500 GM","3000.00"
"LEAD FOIL","500 GM","700.00"
"LEAD HYDROXIDE","500 GM","1200.00"
"LEAD IODIDE","100 GM","5000.00"
"LEAD MONOXIDE","500 GM","1800.00"
"LEAD NITRATE","500 GM","1200.00"
"UNKNOWN ITEM","500 GM","3250.00"
"UNKNOWN ITEM","100 GM","1380.00"
"MAGNESIUM RIBBON","25 GM","450.00"
"MAGNESIUM SULPHATE SLR","500 GM","1800.00"
"MALACHITE GREEN","25 GM","2500.00"
"MALEIC ACID","500 GM","1980.00"
"MALTOSE","100 GM","2500.00"
"MANGANESE CARBONATE","500 GM","1980.00"
"MANGANESE CHLORIDE","500 GM","2560.00"
"MANGANESE DIOXIDE","500 GM","1800.00"
"MANGANESE SULPHATE","500 GM","1750.00"
"MARBLE CHIPS","500 GM","800.00"
"METHANOL","1L","900.00"
"METHANOL","2.5 L","2500.00"
"METHYL ORANGE DISODIUM SALT","25 GM","1070.00"
"METHYL ORANGE SOLUTION","0.5 L","300.00"
"METHYL ORANGE SCREENED","0.5 L","700.00"
"METHYL RED","25 GM","1070.00"
"METHYL RED SOLUTION","0.5 L","400.00"
"METHYLATED SPIRIT","1L","300.00"
"METHYLATED SPIRIT","5L","1000.00"
"METHYLENE BLUE POWDER","25 GM","1200.00"
"METHYLENE BLUE SOLUTION","0.5 L","700.00"
"MILLION'S REAGENT","0.5 L","2500.00"
"NAPHTHALENE BALLS","500 GM","400.00"
"NAPHTHALENE POWDER","100 GM","1000.00"
"NAPHTHALENE POWDER","500 GM","1750.00"
"NEUTRAL RED SOLUTION","100 GM","875.00"
"NITRIC ACID","1L","900.00"
"NITRIC ACID","2.5 L","1800.00"
"ORTHOPHOSPHORIC ACID","2.5 L","3100.00"
"OXALIC ACID","500 GM","1500.00"
"PARAFFIN WAX","1KG","1000.00"
"PEPSIN","100 GM","1800.00"
"PHENOL CRYSTALS","500 GM","3100.00"
"PHENOLPHTHALEIN POWDER","50 GM","800.00"
"PHENOLPHTHALEIN SOLUTION","0.5 L","300.00"
"PHOSPHORUS RED","250 GM","1500.00"
"PLASTICINE","500 GM","350.00"
"POTASSIUM BROMIDE","500 GM","1440.00"
"POTASSIUM CARBONATE","500 GM","1870.00"
"POTASSIUM CHLORATE","500 GM","1745.00"
"POTASSIUM CHLORIDE","500 GM","1500.00"
"POTASSIUM CHROMATE","500 GM","2150.00"
"POTASSIUM CITRATE","500 GM","1200.00"
"POTASSIUM DICHROMATE","500 GM","1850.00"
"POTASSIUM DIHYDROGEN PHOSPHATE","500 GM","1800.00"
"POTASSIUM FERROCYANIDE","500 GM","3000.00"
"POTASSIUM FERROCYANIDE","500 GM","2000.00"
"POTASSIUM HYDROGEN CARBONATE","500 GM","1450.00"
"POTASSIUM HYDROXIDE PELLETS","500 GM","1200.00"
"POTASSIUM MOLYBDATE","100 GM","2000.00"
"POTASSIUM IODIDE SUSPECTED SPELLING FIXED","100 GM","1500.00"
"POTASSIUM IODIDE","500 GM","5000.00"
"POTASSIUM METABISULPHITE","500 GM","1200.00"
"POTASSIUM METAL","25 GM","11635.00"
"POTASSIUM NITRATE","500 GM","1500.00"
"POTASSIUM PERMANGANATE","500 GM","2500.00"
"POTASSIUM SULPHATE","500 GM","1400.00"
"POTASSIUM THIOCYANATE","500 GM","3400.00"
"PROPAN-2-OL","2.5 L","3000.00"
"PYROGALLOL CRYSTALS","25 GM","2000.00"
"SALICYLIC ACID WASHED","500 GM","2900.00"
"SAND ACID WASHED","1 KG","755.00"
"SILICA GEL SELF INDICATOR","500 GM","1950.00"
"SILVER CHLORIDE","25 GM","3000.00"
"SILVER NITRATE","25 GM","2500.00"
"SODALIME","500 GM","1500.00"
"SODIUM ACETATE","500 GM","1000.00"
"SODIUM BENZOATE","500 GM","445.00"
"SODIUM BROMIDE","500 GM","2030.00"
"SODIUM CARBONATE DECAHYDRATE","500 GM","1300.00"
"SODIUM CARBONATE ANHYDROUS","500 GM","900.00"
"SODIUM CHLORIDE","500 GM","900.00"
"SODIUM NITRATE","500 GM","900.00"
"SODIUM DICHROMATE","500 GM","1865.00"
"SODIUM DIHYDROGEN PHOSPHATE","500 GM","1000.00"
"SODIUM DIPHENYLAMINE SULPHONATE","5 GM","5600.00"
"SODIUM FLUORIDE","500 GM","4500.00"
"SODIUM FORMATE","500 GM","4200.00"
"SODIUM HYDROGEN CARBONATE","500 GM","900.00"
"SODIUM HYDROXIDE PEARLS","500 GM","1000.00"
"SODIUM HYDROXIDE PELLETS","500 GM","1000.00"
"SODIUM HYDROGEN SULPHITE","500 GM","1200.00"
"SODIUM IODIDE","100 GM","5000.00"
"SODIUM METABISULPHITE","500 GM","1200.00"
"SODIUM METAL","25 GM","1000.00"
"SODIUM METAL","100 GM","3000.00"
"SODIUM NITRATE","500 GM","1200.00"
"SODIUM NITRITE","500 GM","1150.00"
"ABSORTION TOWER DRYING TOWER","","3490.00"
"ACID ACCUMULATOR","2V 10AH","2500.00"
"ACID ACCUMULATOR","6V 15 AH","3000.00"
"ALCOHOMETER","","5540.00"
"AMMETER","DIGITAL","4500.00"
"AMMETER","DUAL RANGE","1200.00"
"ANEROID BAROMETER","","2900.00"
"ASPIRATOR BOTTLE GLASS","2.5L","4141.00"
"ASPIRATOR BOTTLE GLASS","5L","5850.00"
"ASPIRATOR BOTTLE GLASS","10L","7350.00"
"ASPIRATOR BOTTLE PLASTIC","5L","2000.00"
"ASPIRATOR PLASTIC","10L","3000.00"
